庫	库	kù	warehouse/storehouse/(file) library
庫車	库车	Kù chē	Kuchar Nahiyisi or Kuche county in Aksu 阿克蘇地區|阿克苏地区, Xinjiang
庫車縣	库车县	Kù chē xiàn	Kuchar Nahiyisi or Kuche county in Aksu 阿克蘇地區|阿克苏地区, Xinjiang
庫里提巴	库里提巴	Kù lǐ tí bā	Curitiba (city in Brazil)
庫頁島	库页岛	Kù yè Dǎo	Sakhalin
庫頁島柳鶯	库页岛柳莺	Kù yè Dǎo liǔ yīng	(bird species of China) Sakhalin leaf warbler (Phylloscopus borealoides)
庫魯病	库鲁病	kù lǔ bìng	kuru (medicine)
彈藥庫	弹药库	dàn yào kù	ammunition dump
思想庫	思想库	sī xiǎng kù	think tank (committee set up to study a problem)
數據庫	数据库	shù jù kù	database
數據庫軟件	数据库软件	shù jù kù ruǎn jiàn	database software
文庫	文库	wén kù	collection of documents/library/book series/sequence of data, esp. genome
智庫	智库	zhì kù	think tank/group of talented people
書庫	书库	shū kù	a store room for books/fig. an erudite person/the Bibliotheca and Epitome of pseudo-Apollodorus
核武庫	核武库	hé wǔ kù	nuclear arsenal
機庫	机库	jī kù	(aircraft) hangar
武庫	武库	wǔ kù	arsenal/store of arms
水庫	水库	shuǐ kù	reservoir/CL:座[zuò]
油庫	油库	yóu kù	fuel depot/fuel farm
法庫	法库	Fǎ kù	Faku county in Shenyang 瀋陽|沈阳, Liaoning
法庫縣	法库县	Fǎ kù xiàn	Faku county in Shenyang 瀋陽|沈阳, Liaoning
清倉查庫	清仓查库	qīng cāng chá kù	to make an inventory of warehouses
澤庫	泽库	Zé kù	Zeku county in Huangnan Tibetan autonomous prefecture 黃南藏族自治州|黄南藏族自治州[Huáng nán Zàng zú zì zhì zhōu], Qinghai
澤庫縣	泽库县	Zé kù xiàn	Zeku county in Huangnan Tibetan autonomous prefecture 黃南藏族自治州|黄南藏族自治州[Huáng nán Zàng zú zì zhì zhōu], Qinghai
知識寶庫	知识宝库	zhī shi bǎo kù	treasure house of knowledge
知識庫	知识库	zhī shi kù	knowledge base
石庫門	石库门	shí kù mén	"shikumen" style architecture: traditional (ca. 19th century) residences with courtyards, once common in Shanghai
程序庫	程序库	chéng xù kù	program library (computing)
管理信息庫	管理信息库	guǎn lǐ xìn xī kù	Management Information Base/MIB
糧庫	粮库	liáng kù	grain depot
紫坪鋪水庫	紫坪铺水库	Zǐ píng pū Shuǐ kù	Zipingpu Reservoir, Sichuan
興都庫什	兴都库什	Xīng dū Kù shí	the Hindu Kush (mountain range)
藩庫	藩库	fān kù	government repository/state provincial warehouse (esp. during Qing dynasty)
血庫	血库	xuè kù	blood bank
詞庫	词库	cí kù	word stock/lexicon
語料庫	语料库	yǔ liào kù	text corpus
資料庫	资料库	zī liào kù	database
質庫	质库	zhì kù	pawnshop (old)
車庫	车库	chē kù	garage
軍火庫	军火库	jūn huǒ kù	arsenal
軟庫	软库	Ruǎn kù	Softbank corporation, Japanese e-commerce firm
金庫	金库	jīn kù	treasury
錫拉庫薩	锡拉库萨	Xī lā kù sà	Syracuse, Sicily
阿金庫爾	阿金库尔	Ā jīn kù ěr	Agincourt (near Arras in north France, scene of a battle in 1415)
題庫	题库	tí kù	question bank (for examiners creating an exam, or students preparing for an exam)
馬庫色	马库色	Mǎ kù sè	Marcuse (philosopher)
馬爾庫斯	马尔库斯	Mǎ ěr kù sī	Marcus (name)
