茲	兹	zī	now/here/this/time/year
菲爾茲獎	菲尔兹奖	Fēi ěr zī Jiǎng	Fields Medal (for mathematics, approximate equivalent to Nobel Prize)
萊布尼茲	莱布尼兹	Lái bù ní zī	Leibnitz (name)/Gottfriend Wilhelm von Leibniz (1646-1716), German mathematician and philosopher, co-inventor of the calculus
蓋茲	盖兹	Gài zī	Gates (name)
西米德蘭茲	西米德兰兹	Xī mǐ dé lán zī	West Midlands, UK county, capital Birmingham 伯明翰[Bó míng hàn]
西米德蘭茲郡	西米德兰兹郡	Xī mǐ dé lán zī jùn	West Midlands, UK county, capital Birmingham 伯明翰[Bó míng hàn]
赫茲	赫兹	Hè zī	Hertz (name)/Heinrich Hertz (1857-1894), German physicist and meteorologist, pioneer of electromagnetic radiation
赫茲	赫兹	hè zī	hertz (Hz), unit of frequency
赫茲龍	赫兹龙	Hè zī lóng	Hezron (name)
鐵爾梅茲	铁尔梅兹	Tiě ěr méi zī	Termez city in southeast Uzbekistan
阿布哈茲	阿布哈兹	Ā bù hā zī	Abkhazia, region in Georgia
阿茲海默症	阿茲海默症	Ā zī hǎi mò zhèng	Alzheimer's disease
阿茲特克	阿兹特克	Ā zī tè kè	Aztec
霍爾木茲	霍尔木兹	Huò ěr mù zī	Hormuz, Iran, at the mouth of the Persian Gulf
霍爾木茲島	霍尔木兹岛	Huò ěr mù zī Dǎo	Hormuz Island, Iran, at the mouth of the Persian Gulf
霍爾木茲海峽	霍尔木兹海峡	Huò ěr mù zī Hǎi xiá	Strait of Hormuz
韋爾弗雷茲	韦尔弗雷兹	Wéi ěr fú léi zī	(George) Wehrfritz (Beijing bureau chief of Newsweek)
龐茲	庞兹	Páng zī	Ponzi (name)
龜茲	龟兹	Qiū cí	ancient Central Asian city state, flourished in first millennium AD, in modern Aksu 阿克蘇地區|阿克苏地区, Xinjiang
