薩	萨	Sà	Bodhisattva/surname Sa
比薩斜塔	比萨斜塔	Bǐ sà Xié tǎ	Leaning Tower of Pisa
比薩餅	比萨饼	bǐ sà bǐng	pizza (loanword)/CL:張|张[zhāng]
泥菩薩	泥菩萨	ní pú sà	clay Bodhisattva
泥菩薩過江，自身難保	泥菩萨过江，自身难保	ní pú sà guò jiāng , zì shēn nán bǎo	like a clay Bodhisattva fording a river, can't guarantee his own safety/unable to save oneself, let alone others
活菩薩	活菩萨	huó pú sà	a living Buddha/fig. compassionate person/saint
漢薩同盟	汉萨同盟	Hàn sà tóng méng	Hanseatic League
烏普薩拉	乌普萨拉	Wū pǔ sà lā	Uppsala, Swedish university city just north of Stockholm
特里薩	特里萨	Tè lǐ sà	Teresa/Theresa (name)
瑞薩	瑞萨	Ruì sà	Renesas Electronics (Japanese microchip company)
瓦薩比	瓦萨比	wǎ sà bǐ	wasabi (loanword)
皮薩餅	皮萨饼	pí sà bǐng	pizza (loanword)
盎格魯薩克遜	盎格鲁萨克逊	Àng gé lǔ Sà kè xùn	Anglo-Saxon
盧薩卡	卢萨卡	Lú sà kǎ	Lusaka, capital of Zambia
福摩薩	福摩萨	Fú mó sà	Formosa
穆薩維	穆萨维	Mù sà wéi	Moussavi, Mir Hussein (1941-), candidate in Iran's disputed 2009 elections
米格爾·德·塞萬提斯·薩維德拉	米格尔·德·塞万提斯·萨维德拉	Mǐ gé ěr · dé · Sāi wàn tí sī · Sà wéi dé lā	Miguel de Cervantes Saavedra (1547-1616), Spanish novelist, poet and playwright, author of Don Quixote 堂吉訶德|堂吉诃德[Táng jí hē dé]
納瓦薩	纳瓦萨	Nà wǎ sà	Navassa
維薩	维萨	Wéi sà	Visa (credit card)
美屬薩摩亞	美属萨摩亚	Měi shǔ Sà mó yà	American Samoa
聖薩爾瓦多	圣萨尔瓦多	Shèng Sà ěr wǎ duō	San Salvador, capital of El Salvador
艾薩克	艾萨克	Ài sà kè	Isaac (name)
艾薩克·牛頓	艾萨克·牛顿	Ài sà kè · Niú dùn	Sir Isaac Newton (1642-1727), British mathematician and physicist
菩薩	菩萨	Pú sà	Bodhisattva (Buddhism)
蒙巴薩	蒙巴萨	Méng bā sà	Mombasa (city in Kenya)
伊犁哈薩克自治州	伊犁哈萨克自治州	Yī lí Hā sà kè zì zhì zhōu	Ili Kazakh autonomous prefecture in Xinjiang
薩丁尼亞島	萨丁尼亚岛	Sà dīng ní yà Dǎo	Sardinia
薩克拉門托	萨克拉门托	Sà kè lā mén tuō	Sacramento
薩克斯	萨克斯	sà kè sī	sax/saxophone
薩克斯管	萨克斯管	sà kè sī guǎn	sax/saxophone
薩克斯風	萨克斯风	sà kè sī fēng	saxophone (loanword)
薩克森	萨克森	Sà kè sēn	Sachsen or Saxony, Bundesland in east of Germany, bordering on Poland and Czech republic, capital Dresden 德累斯頓|德累斯顿[Dé lèi sī dùn]
薩克森州	萨克森州	Sà kè sēn zhōu	Sachsen or Saxony, Bundesland in east of Germany, bordering on Poland and Czech republic, capital Dresden 德累斯頓|德累斯顿[Dé lèi sī dùn]
薩克洛夫	萨克洛夫	Sà kè luò fū	Sakharov (name)/Andrei Sakharov (1921-1989), Soviet nuclear physicist and dissident human rights activist
薩克洛夫獎	萨克洛夫奖	Sà kè luò fū Jiǎng	Sakharov Prize for Freedom of Thought, awarded by the European Parliament annually since 1988
薩克管	萨克管	sà kè guǎn	sax/saxophone
薩克遜	萨克逊	Sà kè xùn	Saxon
薩其馬	萨其马	sà qí mǎ	see 沙琪瑪|沙琪玛[shā qí mǎ]
薩博	萨博	Sà bó	Saab
薩卡什維利	萨卡什维利	Sà kǎ shí wéi lì	Mikheil Saakashvili (1967-), Georgian politician, president of Georgia 2004-2013
薩哈洛夫	萨哈洛夫	Sà hā luò fū	Sakharov (Russian name)
薩哈羅夫	萨哈罗夫	Sà hǎ luó fū	Andrei Sakharov (1921-1989), Russian nuclear scientist and dissident human rights activist
薩哈羅夫人權獎	萨哈罗夫人权奖	Sà hǎ luó fū Rén quán jiǎng	the EU Sakharov Human Rights Prize
薩哈羅夫獎	萨哈罗夫奖	Sà hǎ luó fū jiǎng	Sakharov Prize for Freedom of Thought (awarded by EU since 1988)
薩哈諾夫	萨哈诺夫	sà hǎ nuò fū	(Andrei) Sakharov
薩哈諾夫人權獎	萨哈诺夫人权奖	sà hǎ nuò fū rén quán jiǎng	the EU Sakharov prize for human rights
薩嘎	萨嘎	Sà gā	Saga county, Tibetan: Sa dga' rdzong, in Shigatse prefecture, Tibet
薩嘎縣	萨嘎县	Sà gā xiàn	Saga county, Tibetan: Sa dga' rdzong, in Shigatse prefecture, Tibet
薩噶達娃節	萨噶达娃节	Sà gá dá wá jié	Tibetan festival on 15th April marking Sakyamuni's birthday
薩巴德羅	萨巴德罗	Sà bā dé luó	Zapatero (name)/José Luis Zapatero (1960-), Spanish PSOE politician, prime minister of Spain from 2004
薩德	萨德	Sà dé	THAAD (Terminal High Altitude Area Defense), US Army anti-ballistic missile system
薩德爾	萨德尔	Sà dé ěr	Sadr (name)/Moqtada Sadr (c. 1973-), Iraqi Shia clergyman and militia leader
薩德爾市	萨德尔市	Sà dé ěr shì	Sadr city (Shia township in East Bagdad)
薩拉丁	萨拉丁	Sà lā dīng	Saladin (c. 1138-1193)
薩拉戈薩	萨拉戈萨	Sà lā gē sà	Zaragoza, Spain
薩拉曼卡	萨拉曼卡	Sà lā màn kǎ	Salamanca, Spain
薩拉森帝國	萨拉森帝国	Sà lā sēn Dì guó	Saracen Empire (medieval European name for Arab empire)
薩拉熱窩	萨拉热窝	Sà lā rè wō	Sarajevo, capital of Bosnia and Herzegovina
薩拉米	萨拉米	sà lā mǐ	salami (loanword)
薩摩	萨摩	Sà mó	Satsuma, the name of a former feudal domain in Japan, and of a former province, a battleship, a district, a peninsula etc
薩摩亞	萨摩亚	Sà mó yà	Samoa
薩摩耶	萨摩耶	Sà mó yé	Samoyed (dog)
薩摩耶犬	萨摩耶犬	Sà mó yē quǎn	Samoyed (dog)
薩摩麟	萨摩麟	Sà mó lín	Samotherium (early giraffe)
薩斯	萨斯	sà sī	SARS/Severe Acute Respiratory Syndrome
薩斯卡通	萨斯卡通	Sà sī kǎ tōng	Saskatoon city, Saskatchewan, Canada
薩斯喀徹溫	萨斯喀彻温	Sà sī kā chè wēn	Saskatchewan province, Canada
薩斯病	萨斯病	sà sī bìng	SARS (Severe Acute Respiratory Syndrome)
薩格勒布	萨格勒布	Sà gé lè bù	Zagreb, capital of Croatia 克羅地亞|克罗地亚[Kè luó dì yà]
薩桑王朝	萨桑王朝	Sà sāng Wáng cháo	Sassanid Empire of Persia (c. 2nd-7th century AD)
薩滿	萨满	sà mǎn	shaman (loanword)
薩滿教	萨满教	Sà mǎn jiào	Shamanism
薩爾	萨尔	Sà ěr	Saarland
薩爾圖	萨尔图	Sà ěr tú	Sa'ertu district of Daqing city 大慶|大庆[Dà qìng], Heilongjiang
薩爾圖區	萨尔图区	Sà ěr tú qū	Sa'ertu district of Daqing city 大慶|大庆[Dà qìng], Heilongjiang
薩爾州	萨尔州	Sà ěr zhōu	Saarland, state of Germany, capital Saarbrücken 薩爾布呂肯|萨尔布吕肯[Sà ěr bù lǚ kěn]
薩爾布呂肯	萨尔布吕肯	Sà ěr bù lǚ kěn	Saarbrücken, capital of Saarland, Germany
薩爾普斯堡	萨尔普斯堡	Sà ěr pǔ sī bǎo	Sarpsborg (city in Østfold, Norway)
薩爾溫江	萨尔温江	Sà ěr wēn jiāng	Salween river, flowing from Tibet into Myanmar
薩爾滸之戰	萨尔浒之战	Sà ěr hǔ zhī zhàn	Battle of Sarhu in 1619, in which the Manchus under Nurhaci 努爾哈赤|努尔哈赤 crushed four Ming armies
薩爾瓦多	萨尔瓦多	Sà ěr wǎ duō	El Salvador
薩爾科奇	萨尔科奇	Sà ěr kē qí	Sarkozy (name)/Nicolas Sarkozy (1955-), president of France 2007-2012
薩爾科齊	萨尔科齐	Sà ěr kē qí	Nicolas Sarkozy (1955-), French UMP politician, President 2007-2012/also written 薩科齊|萨科齐[Sà kē qí]
薩爾茨堡	萨尔茨堡	Sà ěr cí bǎo	Salzburg
薩爾達	萨尔达	Sà ěr dá	Zelda (in Legend of Zelda video game) (Tw, HK, Macau)
薩特	萨特	Sà tè	Jean-Paul Sartre (1905-1980), French existential philosopher and novelist
薩珊王朝	萨珊王朝	Sà shān Wáng cháo	Sassanid Empire of Persia (c. 2nd-7th century AD)
薩瓦河	萨瓦河	Sà wǎ Hé	Sava River, flowing through Southeast Europe
薩科齊	萨科齐	Sà kē qí	Nicolas Sarkozy (1955-), French UMP politician, President 2007-2012
薩米人	萨米人	Sà mǐ rén	the Sami people, indigenous people in northern Scandinavia
薩莉	萨莉	Sà lì	Sally (name)
薩菲	萨菲	Sà fēi	Safi (Moroccan city on the Atlantic coast)
薩蒂	萨蒂	Sà dì	Sati (Hindu goddess)
薩蒂	萨蒂	sà dì	sati (illegal Hindu practice)
薩蘭斯克	萨兰斯克	Sà lán sī kè	Saransk, capital of the Republic of Mordovia, Russia
薩赫蛋糕	萨赫蛋糕	Sà hè dàn gāo	Sachertorte, Viennese chocolate cake
薩迦	萨迦	Sà jiā	Sa'gya town and county, Tibetan: Sa skya, in Shigatse prefecture, central Tibet/saga (i.e. heroic tale)
薩迦縣	萨迦县	Sà jiā xiàn	Sa'gya county, Tibetan: Sa skya rdzong, in Shigatse prefecture, Tibet
薩迪克	萨迪克	Sà dí kè	Sadiq or Sadik (name)
薩達姆	萨达姆	Sà dá mǔ	Saddam
薩達姆·侯賽因	萨达姆·侯赛因	Sà dá mǔ · Hóu sài yīn	Saddam Hussein
薩達特	萨达特	Sà dá tè	Anwar Al Sadat
薩那	萨那	Sà nà	Sana'a, capital of Yemen
薩里	萨里	Sà lǐ	Surrey (county in England)
薩里郡	萨里郡	Sà lǐ jùn	Surrey (county in south England)
薩非王朝	萨非王朝	Sà fēi Wáng cháo	Persian Safavid Dynasty 1501-1722
薩馬蘭奇	萨马兰奇	Sà mǎ lán qí	Juan Antonio Samaranch (1920-), Spanish Olympic official, president of International Olympic Committee 1980-2001
薩默塞特郡	萨默塞特郡	Sà mò sāi tè jùn	Somerset county in southwest England
虛空藏菩薩	虚空藏菩萨	Xū kōng zàng Pú sà	Akasagarbha Bodhisattva
西薩摩亞	西萨摩亚	Xī Sà mó yà	Western Samoa
觀世音菩薩	观世音菩萨	Guān shì yīn Pú sà	Guanyin, the Bodhisattva of Compassion or Goddess of Mercy (Sanskrit Avalokiteśvara)
觀音菩薩	观音菩萨	Guān yīn Pú sà	Guanyin, the Bodhisattva of Compassion or Goddess of Mercy (Sanskrit Avalokiteśvara)
豪薩語	豪萨语	Háo sà yǔ	the Hausa language
達累斯薩拉姆	达累斯萨拉姆	Dá lèi sī Sà lā mǔ	Dar es Salaam (former capital of Tanzania)
達蘭薩拉	达兰萨拉	Dá lán sà lā	Dharamsala in Himachal Pradesh, north India, home of Tibetan government in exile
金剛手菩薩	金刚手菩萨	Jīn gāng shǒu Pú sà	Vajrapani Bodhisattva
金剛薩埵	金刚萨埵	Jīn gāng sà duǒ	Vajrasattva
金沙薩	金沙萨	Jīn shā sà	Kinshasa, capital of Zaire
錫拉庫薩	锡拉库萨	Xī lā kù sà	Syracuse, Sicily
門薩	门萨	Mén sà	Mensa (loanword)
阿克塞哈薩克族自治縣	阿克塞哈萨克族自治县	Ā kè sài Hā sà kè zú Zì zhì xiàn	Aksai Kazakh autonomous county in Jiuquan 酒泉, Gansu
阿爾薩斯	阿尔萨斯	Ā ěr sà sī	Alsace, French department
阿薩姆	阿萨姆	Ā sà mǔ	Assam, India
阿薩德	阿萨德	Ā sà dé	Assad (Arabic name)
阿赫蒂薩里	阿赫蒂萨里	Ā hè dì sà lǐ	Martti Ahtisaari (1937-), Finnish diplomat and politician, veteran peace negotiator and 2008 Nobel peace laureate
雷克薩斯	雷克萨斯	Léi kè sà sī	Lexus/see also 凌志[Líng zhì]
韋馱菩薩	韦驮菩萨	Wéi tuó Pú sà	Skanda, the general or guardian Bodhisattva
馬薩諸塞	马萨诸塞	Mǎ sà zhū sài	Massachusetts, US state
馬薩諸塞州	马萨诸塞州	Mǎ sà zhū sài zhōu	Massachusetts, US state
龍樹菩薩	龙树菩萨	Lóng shù Pú sà	Nagarjuna (Nagarjuna Bodhisattva)
